time,x,y,z
7.21007,4.069373,2.1373966,4.540832
7.2200704,4.402799,2.2354631,4.864452
7.2300706,4.6675787,2.519856,4.962518
7.240071,4.7656455,2.6179225,5.050778
7.250071,5.0500383,2.9023154,5.109618
7.2600713,5.1284914,3.1867082,5.1292315
7.2700715,5.334431,3.5103276,5.5411105
7.2800717,5.412884,3.5887809,5.9235697
7.290072,5.471724,3.6476207,6.423709
7.300072,5.4913373,3.7064607,6.9630747
7.3100724,5.5599837,3.7162673,7.5612807
7.3200727,5.6580505,3.7162673,8.022193
7.330073,5.6580505,3.6868472,8.443879
7.340073,5.393271,3.412261,8.728272
7.3500733,4.971585,3.1278682,8.816532
7.3600736,4.549899,2.7650223,9.238218
7.370074,4.2655063,2.3041096,9.728551
7.380074,4.1870527,1.7647438,10.650375
7.3900743,4.0889864,1.2351847,11.670267
7.4000745,4.02034,0.6762057,12.650932
7.4100747,4.02034,0.28393966,13.553144
7.420075,4.02034,0.26432636,13.94541
7.430075,4.0889864,0.3525862,13.533531
7.4400754,4.500866,1.0684717,12.709772
7.4500756,5.079458,1.6764839,11.68988
7.460076,5.9620566,2.2844963,10.787669
7.470076,6.8348484,2.9513485,10.1404295
7.4800763,7.629187,3.559361,10.11101
7.4900765,8.227392,4.1085334,10.562116
7.500077,8.482366,4.5792527,11.503554
7.510077,8.364685,4.6871257,12.39596
7.520077,7.472281,4.706739,12.954939
7.5300775,6.315096,4.598866,13.386431
7.5400777,5.197138,3.9124002,13.749277
7.550078,3.9516933,3.2259347,13.847343
7.560078,2.755282,2.490436,13.7394705
7.5700784,1.97075,1.9608768,12.954939
7.5800786,1.6765505,1.6078373,12.0135
7.590079,1.7353904,1.5097709,10.846509
7.600079,2.137463,1.5097709,9.483384
7.6100793,2.6179888,1.5980307,7.992773
7.6200795,3.1867747,2.03933,6.4040956
7.6300797,3.7163336,2.431596,4.825225
7.64008,4.275313,2.9023154,3.4130678
7.65008,4.657772,3.3240013,2.1774297
7.6600804,4.9225516,3.4318745,1.3144445
7.6700807,4.942165,3.5299408,0.8339187
7.680081,4.9519715,3.549554,0.7554655
7.690081,4.9519715,3.549554,0.77507883
7.7000813,4.883325,3.5691676,1.1379249
7.7100816,4.775452,3.5887809,1.471351
7.720082,4.500866,3.6083941,1.8243904
7.730082,4.402799,3.667234,2.1774297
7.7400823,4.1674395,3.7456872,2.5304692
7.7500825,4.1674395,3.9908535,2.8933153
7.7600827,4.1380196,4.0104666,3.3542278
7.770083,4.1184063,4.0693064,4.0112734
7.780083,4.1184063,4.08892,4.658512
7.7900834,4.216473,4.08892,5.550917
7.8000836,4.579319,4.08892,6.4335155
7.810084,4.6675787,3.7947204,7.286694
7.820084,4.9029384,3.6868472,8.3262
7.8300843,5.334431,3.6182008,9.679518
7.8400846,6.089543,3.5887809,11.503554
7.850085,6.815235,3.245548,13.425658
7.860085,7.1878877,2.7650223,15.014335
7.8700852,7.1878877,2.1472032,15.96558
7.8800855,7.1682744,1.588224,16.249973
7.8900857,7.148661,1.2646046,15.945967
7.900086,7.148661,1.2351847,15.112402
7.910086,7.217308,1.2351847,13.994444
7.9200864,7.6684136,1.3332511,12.984359
7.9300866,7.9920335,1.4117044,12.248859
7.940087,8.060679,1.480351,11.699687
7.950087,8.070486,1.5686108,11.385875
7.9600873,7.9920335,1.6764839,11.013222
7.9800878,7.580154,1.9314568,10.650375
7.990088,6.707362,2.0197167,10.032557
8.000088,6.2170296,2.03933,9.728551
8.010088,5.77573,2.03933,9.493191
8.020088,5.4030776,2.03933,9.091119
8.030088,4.991198,1.9412634,8.757692
8.040089,4.657772,1.8333904,8.4340725
8.050089,4.353766,1.7255172,8.100647
8.060089,4.2360864,1.6176441,7.6789603
8.070089,3.9516933,1.5391908,7.237661
8.08009,3.8830469,1.5391908,6.845395
8.09009,3.8536267,1.6176441,6.5806155
8.10009,3.8340135,1.6960973,6.315836
8.11009,3.8340135,1.7843571,6.060863
8.1200905,3.8340135,2.0197167,6.002023
8.130091,3.8340135,2.0295234,5.756857
8.140091,3.8340135,2.0491366,5.6587906
8.150091,3.8144002,2.0491366,5.3743973
8.160091,3.706527,1.9706835,5.0605845
8.170092,3.598654,1.9020369,4.9527116
8.180092,3.598654,1.8824235,4.8448386
8.190092,3.6673005,1.8530036,4.736965
8.200092,3.9222734,1.8333904,4.736965
8.210093,4.0105333,1.8333904,4.7565784
8.220093,4.3635726,1.8530036,4.864452
8.230093,4.4518323,1.9412634,5.276331
8.240093,4.7656455,2.2060432,5.668597
8.250093,4.853905,2.3139162,6.1785426
8.260094,5.167718,2.6277292,6.7473288
8.270094,5.422691,2.7061822,7.257274
8.280094,5.7070837,2.9513485,7.76722
8.290094,6.0405097,2.9513485,8.316393
8.300095,6.2758694,2.9513485,8.826339
8.310095,6.2954826,2.882702,9.218605
8.320095,6.2954826,2.608116,9.522611
8.330095,6.207223,2.5885024,9.630485
8.3400955,5.9130235,2.5885024,10.061976
8.350096,5.844377,2.5885024,10.669989
8.360096,5.844377,2.5002427,11.503554
8.370096,5.9424434,2.0785568,12.36654
8.380096,6.0208964,1.7745504,12.945132
8.390097,6.0405097,1.4705442,13.209911
8.400097,6.0405097,1.3626711,13.209911
8.410097,6.0405097,1.284218,12.778419
